time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
7701, -00003.562, -00016.202, -00055.052, -473.44
7801,  00002.022, -00016.052, -00055.952, -475.31
7901, -00003.182, -00016.802, -00056.402, -478.22
8001,  00000.002, -00017.252, -00055.502, -473.44
8101,  00000.272, -00017.402, -00056.552, -474.38
8201, -00002.862, -00018.302, -00055.502, -478.22
8301,  00000.782, -00017.402, -00056.102, -474.38
8401, -00000.952, -00017.552, -00055.952, -478.22
8501,  00000.502, -00016.802, -00057.152, -479.17
8601,  00000.492, -00015.752, -00057.452, -473.44
8701,  00001.332, -00017.702, -00056.102, -480.11
8801,  00000.342, -00016.652, -00056.102, -478.22
8901, -00001.692, -00016.202, -00055.352, -473.44
9001, -00002.382, -00017.252, -00055.202, -475.31
9101, -00001.772, -00017.252, -00054.752, -477.27
9201,  00000.022, -00016.202, -00055.802, -480.11
9301, -00001.892, -00016.202, -00054.602, -472.50
9401,  00000.402, -00016.952, -00056.552, -474.38
9501, -00001.962, -00016.652, -00055.802, -478.22
9601, -00001.952, -00016.652, -00055.052, -473.44
9701,  00001.242, -00018.152, -00056.852, -474.38
9801, -00002.182, -00016.802, -00055.952, -478.22
9901,  00000.382, -00016.652, -00055.802, -479.17
10001, -00002.122, -00018.152, -00056.102, -478.22
10101,  00001.492, -00016.952, -00055.802, -474.38
10201, -00003.762, -00016.652, -00056.552, -478.22
10301,  00000.692, -00016.802, -00055.952, -474.38
10401,  00000.082, -00018.002, -00056.702, -479.17
10501, -00002.152, -00016.952, -00055.352, -472.50
10601, -00001.252, -00016.802, -00055.202, -480.11
10701, -00000.662, -00016.802, -00055.502, -478.22
10801, -00000.852, -00017.552, -00057.152, -478.22
10901, -00001.822, -00017.402, -00055.352, -475.31
11001, -00001.352, -00016.502, -00055.952, -477.27
11101,  00000.432, -00016.802, -00056.702, -480.11
11201, -00000.112, -00017.402, -00055.802, -472.50
11301, -00000.892, -00016.652, -00055.802, -474.38
11401, -00000.312, -00015.452, -00056.552, -479.17
11501, -00000.162, -00016.952, -00055.352, -478.22
11601, -00000.322, -00016.952, -00056.552, -474.38
11701, -00002.782, -00016.502, -00056.852, -478.22
11801, -00001.262, -00016.202, -00057.752, -480.11
11901, -00000.852, -00017.702, -00055.352, -478.22
12001,  00001.112, -00017.552, -00056.402, -473.44
12101, -00002.022, -00016.652, -00056.552, -474.38
12201,  00000.022, -00016.802, -00056.402, -478.22
12301, -00000.662, -00017.552, -00055.952, -475.31
12401,  00000.492, -00017.402, -00056.102, -478.22
12501, -00000.892, -00017.552, -00057.152, -474.38
12601, -00000.692, -00016.652, -00056.552, -478.22
12701, -00000.372, -00016.802, -00055.502, -474.38
12801, -00000.412, -00016.652, -00055.802, -479.17
