time (ms), current (mA), voltage (V)
63562,2.8,22.89
64062,2.9,22.88
64562,2.97,22.87
65062,3.1,22.86
65563,3.24,22.85
66063,3.34,22.83
66563,3.51,22.82
67062,3.7,22.8
67562,3.76,22.79
68062,3.75,22.79
68562,3.89,22.8
69063,4.39,22.75
69563,4.57,22.73
70063,4.83,22.71
70562,5.1,22.68
71062,5.12,22.67
71562,5.39,22.65
72063,6.09,22.58
72563,6.88,22.51
73063,7.66,22.44
73562,8.06,22.4
74062,8.62,22.35
74562,9.19,22.29
75062,9.76,22.23
75562,10.31,22.17
76062,11,22.09
76562,12.28,21.95
77062,17.9,21.2
77562,21.65,20.4
78062,23.97,16.94
78562,24.6,12.03
79062,25,8.4
79562,25.16,5.91
80062,25.18,4.91
80563,25.14,4.75
81063,25.31,3.54
81563,25.24,3.95
82062,25.21,3.92
82562,25.08,5.96
83062,24.98,9.61
83563,24.77,9.62
84063,24.68,14.22
84563,24.38,15.92
85063,24.23,15.73
85563,24.29,15.58
86063,24.59,12.84
86563,24.77,11.13
87063,24.78,10.02
87562,24.96,9.17
88062,24.83,8.74
88562,25.05,8.17
89063,25.1,7.38
89563,25.07,5.69
90063,24.94,5.95
90562,25.06,4.89
91062,25.18,2.86
91562,25.34,1.4
92063,25.37,0.61
92563,25.35,0.24
93063,25.49,0.1
93562,25.46,0.07
94062,25.37,0.03
94562,25.35,0.03
95063,25.53,0.03
95563,25.31,0.03
96063,25.2,0.03
96562,25.08,0.03
97062,0.28,22.84
97563,0.26,22.83
98063,0.24,22.83
98562,0.32,22.83
99062,0.26,22.82
99563,0.23,22.82
100062,0.26,22.82
100563,0.28,22.82
101063,25.4,0.02
101562,25.34,0.02
102062,25.5,0.02
102562,25.44,0.02
103063,25.39,0.02
103563,25.36,0.02
104062,25.54,0.02
104562,25.36,0.02
105062,25.52,0.02
105563,25.68,0.02
106063,0.33,22.77
106562,0.26,22.77
107062,0.25,22.77
107563,0.21,22.77
108063,0.23,22.76
108562,0.24,22.76
109062,0.33,22.76
109563,0.31,22.76
110063,2.6,22.58
110562,2.55,22.58
111062,2.64,22.58
