time (ms), current (mA), voltage (V)
180563,0.76,4
181063,0.78,4
181563,0.75,3.99
182062,0.84,3.98
182562,0.79,4.01
183063,0.82,4.03
183563,0.83,4.1
184063,0.81,4.1
184562,0.8,4.09
185062,0.85,4.1
185562,0.76,4.1
186062,0.78,4.09
186562,0.81,4.08
187063,0.83,4.08
187563,0.88,4.09
188063,0.78,4.1
188563,0.84,4.1
189062,0.82,4.1
189562,0.78,4.1
190062,0.76,4.08
190562,0.84,4.1
191062,0.81,4.07
191562,0.8,4.08
192063,0.75,4.05
192563,0.78,4.05
193063,0.78,4.05
193563,0.84,4.06
194063,0.92,4.06
194563,0.79,4.06
195062,0.82,4.05
195563,0.72,4.04
196063,0.78,4.08
196563,0.89,4.07
197063,0.9,4.07
197562,0.76,4.06
198062,0.85,4.07
198562,0.78,4.07
199062,0.81,4.08
199562,0.8,4.08
200063,0.83,4.07
200563,0.83,4.07
201063,0.8,4.06
201563,0.73,4.03
202063,0.77,4.02
202562,0.78,4.05
203062,0.83,4.07
203562,0.77,4.07
204062,0.84,4.07
204562,0.82,4.07
205062,0.82,4.07
205563,0.82,4.05
206063,0.81,3.99
