time (ms), gyrz (dps), magx (uT), magy (uT), wheel (RPM)
12301, -00002.662,  00030.002,  00008.702, -508.12
12401,  00001.652,  00031.652,  00011.402, -508.12
12501,  00001.312,  00031.052,  00009.002, -513.26
12601, -00000.542,  00032.102,  00009.752, -509.06
12701, -00002.492,  00030.902,  00008.102, -509.06
12801,  00000.682,  00028.952,  00010.052, -510.00
12901,  00001.502,  00030.602,  00009.902, -513.26
13001, -00002.962,  00030.452,  00009.002, -508.12
13101,  00002.862,  00029.852,  00011.102, -513.26
13201, -00001.972,  00031.502,  00009.302, -513.26
13301, -00000.832,  00032.552,  00011.552, -510.00
13401, -00000.042,  00030.602,  00009.152, -513.26
13501,  00002.502,  00031.502,  00009.302, -509.06
13601,  00000.762,  00031.502,  00010.052, -509.06
13701, -00001.862,  00032.402,  00010.352, -508.12
13801,  00002.052,  00031.952,  00008.852, -513.26
13901, -00003.842,  00032.702,  00008.102, -513.26
14001, -00001.232,  00031.652,  00010.352, -509.06
14101, -00000.552,  00033.452,  00010.352, -510.00
14201, -00001.142,  00031.052,  00010.502, -514.20
14301,  00000.072,  00032.552,  00009.752, -508.12
14401, -00000.012,  00031.352,  00009.152, -513.26
14501, -00000.222,  00030.002,  00009.752, -508.12
14601,  00000.542,  00031.502,  00009.752, -514.20
14701, -00002.292,  00030.752,  00008.252, -510.00
14801, -00000.922,  00032.552,  00009.302, -510.00
14901, -00002.362,  00031.802,  00009.752, -509.06
15001,  00000.112,  00030.002,  00009.002, -509.06
15101, -00000.532,  00031.802,  00010.802, -514.20
15201,  00001.062,  00030.902,  00009.602, -515.15
15301, -00002.052,  00030.752,  00009.752, -517.99
15401,  00000.152,  00030.902,  00010.652, -520.83
15501, -00002.922,  00031.952,  00009.902, -523.67
15601, -00003.102,  00032.402,  00009.902, -527.46
15701, -00002.962,  00032.702,  00009.602, -531.25
15801, -00000.442,  00031.652,  00010.352, -534.09
15901, -00000.472,  00030.902,  00009.152, -537.88
16001, -00001.442,  00032.402,  00009.602, -542.61
16101, -00002.552,  00033.452,  00009.902, -547.35
16201, -00000.642,  00031.952,  00009.602, -551.14
16301, -00001.052,  00032.102,  00010.502, -554.92
16401, -00001.792,  00030.602,  00009.152, -558.71
16501,  00001.402,  00031.652,  00010.352, -563.45
16601, -00001.802,  00031.952,  00012.152, -567.23
16701,  00002.222,  00030.902,  00009.902, -571.97
16801, -00000.282,  00031.802,  00010.052, -574.81
16901, -00001.402,  00031.952,  00008.402, -579.55
17001, -00000.272,  00030.902,  00009.152, -582.39
17101,  00000.582,  00031.352,  00011.402, -587.12
17201, -00001.582,  00031.952,  00008.402, -591.86
17301, -00000.712,  00030.902,  00010.652, -595.64
17401, -00005.622,  00031.802,  00010.502, -599.43
17501,  00000.662,  00032.552,  00008.252, -603.22
17601,  00000.472,  00031.502,  00010.802, -607.95
17701,  00000.822,  00032.402,  00009.902, -609.85
17801,  00000.642,  00029.552,  00010.352, -609.85
17901,  00000.262,  00031.652,  00010.652, -608.90
18001, -00002.202,  00031.652,  00010.352, -607.01
18101, -00001.712,  00031.352,  00009.152, -603.22
18201, -00000.112,  00031.952,  00011.402, -601.33
18301,  00001.542,  00029.552,  00008.852, -596.59
18401,  00002.302,  00031.502,  00010.502, -592.80
18501, -00001.982,  00031.652,  00009.152, -589.02
18601,  00003.542,  00031.502,  00009.752, -585.23
18701, -00001.692,  00031.952,  00010.652, -580.49
18801,  00003.502,  00032.552,  00008.702, -576.70
18901, -00001.612,  00030.602,  00009.902, -571.97
19001, -00001.032,  00032.102,  00010.502, -569.13
19101, -00002.472,  00033.302,  00011.252, -563.45
19201, -00004.662,  00030.752,  00010.052, -560.61
19301, -00001.522,  00032.402,  00010.352, -555.87
19401,  00000.422,  00029.852,  00008.852, -550.19
19501,  00000.392,  00029.852,  00010.652, -548.30
19601,  00001.092,  00030.902,  00008.852, -543.56
19701, -00001.142,  00030.752,  00010.052, -538.83
19801, -00000.952,  00030.752,  00010.052, -535.04
19901, -00002.832,  00032.402,  00009.602, -529.36
20001, -00002.322,  00032.102,  00010.502, -526.52
20101,  00000.782,  00032.402,  00008.852, -523.67
20201, -00003.312,  00031.352,  00009.902, -520.83
20301,  00000.202,  00030.452,  00009.752, -518.94
20401, -00001.262,  00031.802,  00009.302, -510.94
20501, -00002.432,  00032.402,  00010.652, -510.94
20601, -00000.182,  00031.802,  00009.752, -515.15
20701,  00002.312,  00032.702,  00010.652, -515.15
20801, -00004.692,  00030.452,  00010.052, -516.10
20901, -00001.142,  00031.952,  00011.102, -515.15
21001, -00000.662,  00031.652,  00009.902, -514.20
21101, -00003.172,  00030.002,  00009.752, -509.06
21201, -00004.352,  00031.952,  00010.352, -509.06
21301, -00001.402,  00031.052,  00009.302, -514.20
21401, -00004.382,  00031.352,  00010.352, -510.00
21501,  00000.472,  00030.902,  00010.652, -515.15
21601, -00003.262,  00030.902,  00008.852, -514.20
21701,  00002.892,  00030.602,  00009.902, -510.00
21801, -00002.042,  00031.952,  00010.352, -514.20
21901, -00001.642,  00031.352,  00009.602, -514.20
22001,  00000.442,  00032.552,  00009.752, -514.20
22101, -00002.952,  00031.502,  00009.752, -510.00
22201, -00000.422,  00031.802,  00010.052, -516.10
22301,  00000.312,  00031.952,  00008.402, -515.15
22401, -00000.212,  00032.402,  00011.102, -514.20
22501,  00005.852,  00030.752,  00008.252, -514.20
22601, -00001.242,  00031.352,  00009.602, -514.20
22701, -00004.342,  00030.452,  00009.002, -515.15
22801,  00001.372,  00030.752,  00010.052, -515.15
22901, -00000.532,  00031.352,  00009.902, -516.10
23001, -00001.962,  00032.102,  00010.502, -510.00
23101, -00002.752,  00031.802,  00009.752, -514.20
23201, -00002.722,  00029.702,  00009.302, -513.26
23301, -00000.232,  00031.502,  00010.502, -510.00
23401, -00002.382,  00030.902,  00008.402, -515.15
23501,  00001.772,  00033.452,  00011.852, -516.10
23601, -00001.352,  00030.452,  00009.302, -514.20
23701, -00000.892,  00030.752,  00009.302, -510.00
23801,  00002.442,  00030.602,  00009.152, -513.26
23901,  00000.472,  00030.752,  00009.002, -510.00
24001, -00002.722,  00030.452,  00010.502, -509.06
24101, -00003.312,  00031.502,  00008.702, -515.15
24201, -00000.172,  00032.552,  00008.252, -515.15
24301, -00000.942,  00031.052,  00010.052, -510.94
24401,  00000.902,  00030.452,  00008.702, -514.20
24501, -00000.182,  00031.502,  00010.052, -509.06
24601, -00000.412,  00031.802,  00009.752, -514.20
24701, -00000.882,  00032.702,  00008.402, -510.00
24801,  00001.782,  00030.752,  00010.802, -510.00
24901, -00002.272,  00031.502,  00008.252, -510.94
25001, -00002.532,  00031.052,  00009.002, -510.00
25101, -00001.332,  00030.602,  00009.152, -514.20
25201, -00005.952,  00032.552,  00010.502, -512.31
25301, -00003.232,  00029.552,  00010.352, -510.42
25401, -00001.572,  00032.102,  00009.002, -508.52
25501,  00001.152,  00030.602,  00009.902, -505.68
25601, -00004.362,  00030.152,  00009.902, -500.00
25701,  00001.962,  00029.852,  00009.602, -494.32
25801,  00003.672,  00029.102,  00010.352, -490.53
25901,  00000.792,  00031.352,  00011.102, -488.64
26001, -00001.972,  00030.752,  00008.702, -484.85
26101,  00001.272,  00031.502,  00009.002, -481.06
26201, -00000.642,  00032.552,  00010.502, -476.33
26301,  00003.012,  00030.152,  00010.352, -470.64
26401, -00002.302,  00031.352,  00010.352, -467.80
26501, -00002.502,  00030.752,  00010.502, -464.96
26601,  00000.012,  00031.802,  00008.702, -459.28
26701, -00001.362,  00030.452,  00010.052, -453.60
26801,  00000.782,  00031.352,  00009.152, -450.76
26901,  00000.552,  00030.002,  00010.052, -447.92
27001,  00001.542,  00031.652,  00009.902, -442.23
27101, -00008.642,  00033.752,  00009.152, -437.50
27201,  00002.242,  00030.002,  00010.052, -436.55
27301,  00001.122,  00031.052,  00008.702, -430.87
27401,  00001.792,  00030.452,  00010.052, -426.14
27501,  00002.812,  00031.652,  00008.852, -420.45
27601, -00002.032,  00030.752,  00010.502, -419.51
27701,  00002.302,  00031.502,  00007.202, -415.72
27801, -00001.212,  00032.102,  00010.502, -416.67
27901, -00001.112,  00030.752,  00009.302, -418.56
28001, -00000.642,  00031.802,  00010.502, -421.40
28101, -00002.192,  00031.502,  00010.052, -423.30
28201, -00000.552,  00032.402,  00008.102, -427.08
28301, -00001.632,  00031.652,  00009.152, -431.82
28401, -00002.142,  00030.752,  00009.752, -434.66
28501, -00001.532,  00031.502,  00008.702, -439.39
28601, -00000.552,  00030.152,  00008.402, -444.13
28701, -00000.282,  00032.852,  00010.502, -446.97
28801,  00000.452,  00030.752,  00009.002, -450.76
28901,  00000.022,  00032.402,  00008.402, -450.94
29001, -00000.332,  00031.502,  00011.252, -460.23
29101, -00002.562,  00031.052,  00009.302, -464.02
29201, -00001.582,  00031.652,  00009.902, -467.80
29301,  00001.532,  00033.302,  00009.752, -472.54
29401,  00000.962,  00033.752,  00008.852, -477.27
29501,  00001.212,  00031.052,  00011.252, -481.06
29601, -00002.102,  00033.752,  00008.402, -485.80
29701, -00002.402,  00031.502,  00009.752, -488.64
29801,  00003.402,  00030.752,  00010.802, -493.37
29901,  00000.202,  00031.952,  00010.352, -498.11
30001, -00001.532,  00031.352,  00010.352, -502.84
30101,  00001.732,  00033.752,  00010.352, -505.68
30201, -00001.152,  00032.702,  00008.402, -508.52
30301, -00004.062,  00031.652,  00010.652, -511.36
30401, -00001.472,  00031.952,  00011.402, -512.31
30501, -00000.902,  00031.802,  00009.752, -514.20
